분석인덱스,시도명,시군구명,행정동명,일반결제년월,결제금액,전월결제금액,결제변화비율
356,경기도,과천시,문원동,2020-01,9043270,9716683,-6.93
357,경기도,과천시,문원동,2020-02,8525900,9043270,-5.72
358,경기도,과천시,문원동,2020-03,12961599,8525900,52.03
359,경기도,과천시,별양동,2019-09,22752440,22752440,0.00
360,경기도,과천시,별양동,2019-10,85947121,22752440,277.75
361,경기도,과천시,별양동,2019-11,74092692,85947121,-13.79
362,경기도,과천시,별양동,2019-12,101196571,74092692,36.58
363,경기도,과천시,별양동,2020-01,95678285,101196571,-5.45
364,경기도,과천시,별양동,2020-02,77002896,95678285,-19.52
365,경기도,과천시,별양동,2020-03,91391191,77002896,18.69
366,경기도,과천시,부림동,2019-09,14957680,14957680,0.00
367,경기도,과천시,부림동,2019-10,53296945,14957680,256.32
368,경기도,과천시,부림동,2019-11,50462053,53296945,-5.32
369,경기도,과천시,부림동,2019-12,56837570,50462053,12.63
370,경기도,과천시,부림동,2020-01,57417698,56837570,1.02
371,경기도,과천시,부림동,2020-02,65508070,57417698,14.09
372,경기도,과천시,부림동,2020-03,87392220,65508070,33.41
373,경기도,과천시,중앙동,2019-09,29351770,29351770,0.00
374,경기도,과천시,중앙동,2019-10,99490369,29351770,238.96
375,경기도,과천시,중앙동,2019-11,89806973,99490369,-9.73
376,경기도,과천시,중앙동,2019-12,115285600,89806973,28.37
377,경기도,과천시,중앙동,2020-01,118101802,115285600,2.44
378,경기도,과천시,중앙동,2020-02,116695730,118101802,-1.19
379,경기도,과천시,중앙동,2020-03,151792440,116695730,30.08
380,경기도,광명시,광명1동,2019-09,873740,873740,0.00
381,경기도,광명시,광명1동,2019-10,2078880,873740,137.93
382,경기도,광명시,광명1동,2019-11,2317230,2078880,11.47
383,경기도,광명시,광명1동,2019-12,2584730,2317230,11.54
384,경기도,광명시,광명1동,2020-01,3794420,2584730,46.80
385,경기도,광명시,광명1동,2020-02,5290350,3794420,39.42
386,경기도,광명시,광명1동,2020-03,6698070,5290350,26.61
